,Time,Action,Team
287,05:03,"Turnover by GROSS,PAIGE",Emory
288,05:03,"Steal by PRASAD,ANIKA",Opponent
289,04:40,"GIBBS,SAVANNAH made layup",Opponent
290,04:34,30SEC TIMEOUT by Opponent,Emory
291,04:34,"KENNEDY,LILY
                                 goes to the bench",Emory
292,04:34,"BROCK,CLAIRE
                                 enters the game",Emory
293,04:25,"ARONSKY,DANIELLA made layup",Emory
294,04:06,"PRASAD,ANIKA missed 3-pt. jump shot",Opponent
295,04:03,"BROCK,CLAIRE defensive rebound",Emory
296,04:01,"BROCK,CLAIRE missed 3-pt. jump shot",Emory
297,03:57,TEAM defensive rebound,Opponent
298,03:57,"MARTIN,ERIN
                                 goes to the bench",Emory
299,03:57,"LAUDICK,MORGAN
                                 enters the game",Emory
300,03:48,"MATSKO,MEGAN missed layup",Opponent
301,03:48,"Block by GROSS,PAIGE",Emory
302,03:44,"GROSS,PAIGE defensive rebound",Emory
303,03:35,"Foul by PRASAD,ANIKA",Opponent
304,03:35,"BROCK,CLAIRE made free throw",Emory
305,03:35,"BROCK,CLAIRE made free throw",Emory
306,03:35,"GROSS,PAIGE
                                 goes to the bench",Emory
307,03:35,"AUZA,MARIANE
                                 enters the game",Emory
308,03:12,"PRASAD,ANIKA missed layup",Opponent
309,03:09,"MATSKO,MEGAN offensive rebound",Opponent
310,03:09,"Turnover by MATSKO,MEGAN",Opponent
311,02:48,"BROCK,CLAIRE missed 3-pt. jump shot",Emory
312,02:43,"MUNSON,IZZY offensive rebound",Emory
313,02:42,"ARONSKY,DANIELLA made 3-pt. jump shot",Emory
314,02:42,"Assist by MUNSON,IZZY",Emory
315,02:32,"LAUDICK,MORGAN
                                 goes to the bench",Emory
316,02:32,"MARTIN,ERIN
                                 enters the game",Emory
317,02:32,"NAMBISAN,ISHA
                                 goes to the bench",Opponent
318,02:32,"CHINTALA,ANISHA
                                 enters the game",Opponent
319,02:16,"GIBBS,SAVANNAH missed layup",Opponent
320,02:14,"MUNSON,IZZY defensive rebound",Emory
321,02:06,"MUNSON,IZZY missed 3-pt. jump shot",Emory
322,02:02,"BROCK,CLAIRE offensive rebound",Emory
323,01:59,"MARTIN,ERIN made 3-pt. jump shot",Emory
324,01:59,"Assist by ARONSKY,DANIELLA",Emory
325,01:37,"Foul by ARONSKY,DANIELLA",Emory
326,01:37,"MUNSON,IZZY
                                 goes to the bench",Emory
327,01:37,"KENNEDY,LILY
                                 enters the game",Emory
328,01:37,"GIBBS,SAVANNAH
                                 goes to the bench",Opponent
329,01:37,"BLACK,AVA
                                 enters the game",Opponent
330,01:31,"OR,CATHERINE made jump shot",Opponent
331,01:25,"ARONSKY,DANIELLA made 3-pt. jump shot",Emory
332,01:11,"PRASAD,ANIKA made 3-pt. jump shot",Opponent
333,00:57,"KENNEDY,LILY missed layup",Emory
334,00:54,"MATSKO,MEGAN defensive rebound",Opponent
335,00:34,"MATSKO,MEGAN missed layup",Opponent
336,00:34,"Block by BROCK,CLAIRE",Emory
337,00:34,"MATSKO,MEGAN offensive rebound",Opponent
338,00:34,"MATSKO,MEGAN made layup",Opponent
339,00:34,"Foul by KENNEDY,LILY",Emory
340,00:34,"AUZA,MARIANE
                                 goes to the bench",Emory
341,00:34,"LOWNDES,CHARLOTTE
                                 enters the game",Emory
342,00:34,"MATSKO,MEGAN made free throw",Opponent
343,00:06,"Foul by LOWNDES,CHARLOTTE",Emory
344,00:06,"Turnover by LOWNDES,CHARLOTTE",Emory
345,00:00,"OR,CATHERINE missed 3-pt. jump shot",Opponent
346,00:00,TEAM deadball rebound,Opponent
347,10:00,"KENNEDY,LILY
                                 goes to the bench",Emory
348,10:00,"LOWNDES,CHARLOTTE
                                 goes to the bench",Emory
349,10:00,"AUZA,MARIANE
                                 enters the game",Emory
350,10:00,"LAUDICK,MORGAN
                                 enters the game",Emory
351,09:53,"ARONSKY,DANIELLA missed layup",Emory
352,09:46,"BLACK,AVA defensive rebound",Opponent
353,09:33,"OR,CATHERINE made jump shot",Opponent
354,09:09,"Foul by CHINTALA,ANISHA",Opponent
355,09:09,"AUZA,MARIANE missed free throw",Emory
356,09:09,TEAM deadball rebound,Emory
357,09:09,"AUZA,MARIANE made free throw",Emory
358,09:09,"MATSKO,MEGAN
                                 goes to the bench",Opponent
359,09:09,"GIBBS,SAVANNAH
                                 enters the game",Opponent
360,08:49,"PRASAD,ANIKA missed 3-pt. jump shot",Opponent
361,08:43,"OR,CATHERINE offensive rebound",Opponent
362,08:38,Turnover by TEAM,Opponent
363,08:24,"MARTIN,ERIN missed 3-pt. jump shot",Emory
364,08:18,"OR,CATHERINE defensive rebound",Opponent
365,08:13,"OR,CATHERINE made jump shot",Opponent
366,08:00,"Turnover by MARTIN,ERIN",Emory
367,08:00,"Steal by BLACK,AVA",Opponent
368,07:47,"CHINTALA,ANISHA made layup",Opponent
369,07:47,"Assist by BLACK,AVA",Opponent
370,07:47,"Foul by ARONSKY,DANIELLA",Emory
371,07:47,"ARONSKY,DANIELLA
                                 goes to the bench",Emory
372,07:47,"MUNSON,IZZY
                                 enters the game",Emory
373,07:47,"BLACK,AVA
                                 goes to the bench",Opponent
374,07:47,"MATSKO,MEGAN
                                 enters the game",Opponent
375,07:47,"CHINTALA,ANISHA missed free throw",Opponent
376,07:46,"LAUDICK,MORGAN defensive rebound",Emory
377,07:22,"Foul by CHINTALA,ANISHA",Opponent
378,07:22,"BROCK,CLAIRE made free throw",Emory
379,07:22,"BROCK,CLAIRE missed free throw",Emory
380,07:22,"GIBBS,SAVANNAH defensive rebound",Opponent
381,07:10,"LAUDICK,MORGAN
                                 goes to the bench",Emory
382,07:10,"GROSS,PAIGE
                                 enters the game",Emory
383,07:03,"Turnover by GIBBS,SAVANNAH",Opponent
384,06:51,"AUZA,MARIANE missed jump shot",Emory
385,06:46,"PRASAD,ANIKA defensive rebound",Opponent
386,06:39,"Foul by AUZA,MARIANE",Emory
387,06:39,"AUZA,MARIANE
                                 goes to the bench",Emory
388,06:39,"ARONSKY,DANIELLA
                                 enters the game",Emory
389,06:39,"PRASAD,ANIKA
                                 goes to the bench",Opponent
390,06:39,"BLACK,AVA
                                 enters the game",Opponent
391,06:37,"Foul by BLACK,AVA",Opponent
392,06:37,"Turnover by BLACK,AVA",Opponent
393,06:27,"MUNSON,IZZY made layup",Emory
394,06:27,"Assist by MARTIN,ERIN",Emory
395,06:09,"OR,CATHERINE missed 3-pt. jump shot",Opponent
