,Lineup,GP,MP,PTS,OPP PTS,+/-,AST,OREB,OPP OREB,DREB,FG%,FGA,OPP FG%,OPP FGA,3P%,3PA,OPP 3P%,3PA,FTA,FT%,TO,OPP TO,STL,BLK,PF,OPP PF
105,"Ellie Gross, Kati Heller, Klaire Steffens, Mallory Brodnik, Marissa Powe",1,1.0,0,3,-3,0,0,0,0,0.0,0,1.0,1,0.0,0,1.0,1,0,0.0,1,0,0,0,0,0
106,"Ashley Gao, Bella Alfaro, Grace Hynes, Mallory Brodnik, Marissa Powe",1,1.0,0,0,0,0,0,0,0,0.0,1,0.0,1,0.0,1,0.0,0,0,0.0,0,1,0,0,0,0
107,"Ashley Gao, Elizabeth Shaw, Kati Heller, Marissa Powe, Sophia North",1,0.98,0,2,-2,0,0,0,0,0.0,1,1.0,1,0.0,0,0.0,0,0,0.0,1,1,1,0,0,0
108,"Ashley Gao, Ellie Gross, Mallory Brodnik, Peyton Van Soest, Sophia North",1,0.83,4,0,4,0,0,1,2,1.0,4,0.0,4,0.0,0,0.0,1,4,1.0,0,0,0,0,1,2
109,"Elizabeth Shaw, Kati Heller, Mallory Brodnik, Marissa Powe, Peyton Van Soest",1,0.83,0,0,0,0,0,0,1,0.0,2,0.0,1,0.0,0,0.0,0,0,0.0,0,1,1,0,0,0
110,"Ashley Gao, Grace Hynes, Klaire Steffens, Marissa Powe, Peyton Van Soest",1,0.82,5,0,5,2,0,0,1,1.0,2,0.0,1,1.0,1,0.0,0,0,0.0,0,0,0,0,1,0
111,"Ashley Gao, Grace Hynes, Mallory Brodnik, Marissa Powe, Peyton Van Soest",1,0.8,0,0,0,0,1,0,0,0.0,3,0.0,0,0.0,0,0.0,0,0,0.0,1,2,2,0,0,1
112,"Bella Alfaro, Kati Heller, Klaire Steffens, Peyton Van Soest, Sophia North",2,0.78,0,2,-2,0,2,1,0,0.0,2,0.5,2,0.0,1,0.0,0,0,0.0,0,0,0,0,1,0
113,"Ashley Gao, Ellie Gross, Grace Hynes, Klaire Steffens, Mallory Brodnik",2,0.77,4,2,2,0,1,1,0,1.0,3,0.5,2,0.0,0,0.0,0,2,1.0,0,0,0,0,0,1
114,"Ashley Gao, Bella Alfaro, Mallory Brodnik, Marissa Powe, Sophia North",1,0.75,0,2,-2,0,0,0,0,0.0,2,1.0,1,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0
115,"Ellie Gross, Grace Hynes, Klaire Steffens, Marissa Powe, Peyton Van Soest",1,0.73,0,2,-2,0,0,0,0,0.0,0,1.0,1,0.0,0,0.0,0,0,0.0,0,0,0,0,0,1
116,"Blair Penn, Ellie Gross, Isabelle Herrera, Klaire Steffens, Mallory Brodnik",1,0.68,0,0,0,0,0,0,2,0.0,1,0.0,3,0.0,0,0.0,0,0,0.0,0,0,0,0,1,0
117,"Alina Brennan, Bella Alfaro, Isabelle Herrera, Kati Heller, Marissa Powe",1,0.68,0,0,0,0,1,0,0,0.0,2,0.0,0,0.0,0,0.0,0,0,0.0,0,1,1,0,0,1
118,"Ashley Gao, Ellie Gross, Grace Hynes, Kati Heller, Marissa Powe",1,0.6,0,2,-2,0,0,0,0,0.0,1,1.0,2,0.0,1,0.0,0,0,0.0,0,0,0,0,1,0
119,"Alison Gill, Ellie Gross, Grace Hynes, Isabelle Herrera, Mallory Brodnik",1,0.58,2,2,0,0,1,0,0,0.5,2,1.0,1,0.0,0,0.0,0,0,0.0,0,0,0,0,0,0
120,"Ellie Gross, Klaire Steffens, Mallory Brodnik, Peyton Van Soest, Sophia North",2,0.55,0,4,-4,0,0,0,0,0.0,2,1.0,3,0.0,2,0.0,0,0,0.0,0,0,0,0,1,0
121,"Ellie Gross, Grace Hynes, Kati Heller, Mallory Brodnik, Sophia North",1,0.53,2,1,1,0,0,1,0,1.0,1,0.33,3,0.0,0,0.0,1,0,0.0,0,0,0,0,1,0
122,"Alina Brennan, Elizabeth Shaw, Grace Hynes, Isabelle Herrera, Klaire Steffens",1,0.5,0,2,-2,0,1,0,0,0.0,2,1.0,2,0.0,0,0.0,0,0,0.0,0,0,0,0,1,0
123,"Ellie Gross, Grace Hynes, Klaire Steffens, Marissa Powe, Sophia North",1,0.48,4,0,4,1,0,0,1,1.0,3,0.0,1,0.0,0,0.0,1,2,1.0,0,0,0,0,0,1
